colorCode,colorName,colorFamily,hexRgb,isVariegated,threadSubtype,upc
208,Lavender - Very Dark,Lavender,#9442A7,false,solid,077540034017
209,Lavender - Dark,Lavender,#BA72C6,false,solid,077540034024
210,Lavender - Medium,Lavender,#D49FE1,false,solid,077540034031
211,Lavender - Light,Lavender,#E5BDED,false,solid,077540034048
221,Shell Pink - Very Dark,Orange,#792631,false,solid,077540034055
223,Shell Pink - Light,Orange,#BB6864,false,solid,077540034062
224,Shell Pink - Very Light,Orange,#E2A598,false,solid,077540034079
225,Shell Pink - Ultra Very Light,Orange,#F8D9CD,false,solid,077540034086
30,Blueberry - Medium Light,Purple,#6D54D3,false,solid,07754097520
300,Mahogany - Very Dark,Orange,#6C3116,false,solid,077540034093
301,Mahogany - Medium,Orange,#AA5237,false,solid,077540034109
3011,Khaki Green - Dark,Green,#655935,false,solid,077540195848
3012,Khaki Green - Medium,Green,#8B7B4E,false,solid,077540195824
3013,Khaki Green - Light,Green,#AFA97B,false,solid,077540195831
3021,Brown Gray - Very Dark,Gray,#50403B,false,solid,077540287192
3022,Brown Gray - Medium,Black and White,#848274,false,solid,077540287208
3024,Brown Gray - Very Light,Black and White,#BEB8AC,false,solid,077540287222
3033,Mocha Brown - Very Light,Gray,#DBC7AD,false,solid,077540287253
304,Red - Medium,Red,#A10C39,false,solid,01588537
3041,Antique Violet - Medium,Purple,#866A76,false,solid,077540274215
3042,Antique Violet - Light,Purple,#AF98A0,false,solid,077540274222
3045,Yellow Beige - Dark,Yellow,#AF8152,false,solid,077540274239
3046,Yellow Beige - Medium,Yellow,#CEB074,false,solid,077540274246
3047,Yellow Beige - Light,Yellow,#EAD8AB,false,solid,077540274253
3051,Green Gray - Dark,Green,#4C4C1E,false,solid,077540274260
3052,Green Gray - Medium,Green,#787E5C,false,solid,077540274277
3053,Green Gray,Green,#999D75,false,solid,077540274284
307,Lemon,Orange,#FDE949,false,solid,077540034123
3072,Beaver Gray - Very Light,Black and White,#D2D2CA,false,solid,077540036561
3078,Golden Yellow - Very Light,Orange,#FCF6B6,false,solid,077540036578
309,Rose - Dark,Pink,#BA2044,false,solid,077540034130
310,Black,Black and White,#000000,false,solid,077540034147
311,Blue - Medium,Blue,#002A64,false,solid,077540034154
312,Baby Blue - Very Dark,Blue,#1F3279,false,solid,077540034161
315,Antique Mauve - Medium Dark,Lavender,#7D4246,false,solid,077540034178
316,Antique Mauve - Medium,Lavender,#BC757F,false,solid,077540034185
317,Pewter Gray,Black and White,#6D6469,false,solid,077540034192
318,Steel Gray - Light,Black and White,#999B9D,false,solid,077540034208
319,Pistachio Green - Very Dark,Green,#3A553B,false,solid,077540034215
32,Blueberry - Dark,Purple,#4D2E8A,false,solid,077540975228
320,Pistachio Green - Medium,Green,#608C59,false,solid,077540034222
321,Red,Red,#BD1136,false,solid,077540034239
322,Baby Blue,Blue,#3A609D,false,solid,077540034246
326,Rose - Very Dark,Pink,#AC1C37,false,solid,077540034253
327,Violet,Lavender,#5E0F77,false,solid,077540034260
33,Fuchsia,Pink,#D9539F,false,solid,077640975242
3325,Baby Blue - Light,Blue,#ADCDE7,false,solid,077540036585
3326,Rose - Light,Pink,#F9979C,false,solid,077540036592
3328,Salmon - Dark,Red,#BE444A,false,solid,077540036608
333,Blue Violet - Very Dark,Purple,#6E2E9B,false,solid,077540401536
334,Baby Blue - Medium,Blue,#6085B8,false,solid,077540034277
3345,Hunter Green - Dark,Green,#40552E,false,solid,077540036615
3346,Hunter Green,Green,#56743B,false,solid,077540036622
3347,Yellow Green - Medium,Green,#6D9646,false,solid,077540036639
3348,Yellow Green - Light,Green,#BEDF74,false,solid,077540036646
335,Rose,Pink,#D63D57,false,solid,077540034284
3350,Dusty Rose - Ultra Dark,Pink,#AA3949,false,solid,077540036653
3354,Dusty Rose - Light,Pink,#EFA5AC,false,solid,077540036660
336,Blue,Blue,#0C275E,false,solid,077540034291
3371,Black Brown,Brown,#36220E,false,solid,077540036677
34,Fuchsia - Dark,Pink,#AE4280,false,solid,077540975266
340,Blue Violet - Medium,Purple,#996DC3,false,solid,077540401543
341,Blue Violet - Light,Purple,#A39AD7,false,solid,077540401550
347,Salmon - Very Dark,Red,#AB1B33,false,solid,077540034307
349,Coral - Dark,Red,#C62C38,false,solid,077540034314
35,Fuchsia - Very Dark,Pink,#732B55,false,solid,077540975280
350,Coral - Medium,Red,#DE3F40,false,solid,077540034321
351,Coral,Red,#ED625B,false,solid,077540034338
352,Coral - Light,Red,#F78372,false,solid,077540034345
353,Peach,Red,#FDB4A1,false,solid,077540034352
355,Terra Cotta - Dark,Peach,#97382B,false,solid,077540034369
356,Terra Cotta - Medium,Peach,#BE5C4B,false,solid,077540034376
367,Pistachio Green - Dark,Green,#446B45,false,solid,077540034383
368,Pistachio Green - Light,Green,#7FC66D,false,solid,077540034390
3685,Mauve - Very Dark,Pink,#79263B,false,solid,077540036684
3687,Mauve,Pink,#B5455D,false,solid,077540036691
3688,Mauve - Medium,Pink,#DC7C86,false,solid,077540036707
3689,Mauve - Light,Pink,#F8BBC8,false,solid,077540036714
369,Pistachio Green - Very Light,Green,#CDEFA6,false,solid,077540034406
3731,Dusty Rose - Very Dark,Pink,#C34C5C,false,solid,077540401574
3743,Antique Violet - Very Light,Purple,#CFC2C9,false,solid,077540310173
3753,Antique Blue - Ultra Very Light,Blue,#D9E6EC,false,solid,077540707263
3799,Pewter Gray - Very Dark,Black and White,#39393D,false,solid,077540975303
3801,Melon - Very Dark,Red,#E4353D,false,solid,077540401581
3814,Aquamarine,Blue Green,#0B8673,false,solid,077540401598
3823,Yellow - Ultra Pale,Yellow,#FEF5CD,false,solid,077540707287
3844,Bright Turquoise - Dark,Blue,#1F7FA0,false,solid,077540975327
3846,Bright Turquoise - Light,Blue,#5ECCEC,false,solid,077540975341
3847,Teal Green - Dark,Blue,#186358,false,solid,077540975365
3865,Winter White,Gray,#FFFDF9,false,solid,077540975389
402,Mahogany - Very Light,Orange,#EF9E74,false,solid,077540034420
407,Desert Sand - Dark,Peach,#B77159,false,solid,077540034437
413,Pewter Gray - Dark,Black and White,#4A4749,false,solid,077540034444
414,Steel Gray - Dark,Black and White,#766E72,false,solid,077540034451
415,Pearl Gray,Black and White,#B8B9BD,false,solid,077540034468
420,Hazelnut Brown - Dark,Yellow,#855A30,false,solid,077540034475
422,Hazelnut Brown - Light,Yellow,#C99A67,false,solid,077540034482
433,Brown - Medium,Brown,#73421E,false,solid,077540034499
434,Brown - Light,Brown,#8F5332,false,solid,077540034505
435,Brown - Very Light,Brown,#A96538,false,solid,077540034512
436,Tan,Brown,#C78559,false,solid,077540034529
437,Tan - Light,Brown,#DAA26F,false,solid,077540034536
444,Lemon - Dark,Orange,#F5BC13,false,solid,077540034543
445,Lemon - Light,Orange,#FCF999,false,solid,077540034550
451,Shell Gray - Dark,Brown,#887773,false,solid,077540034567
453,Shell Gray - Light,Brown,#CCB8AA,false,solid,077540034581
469,Avocado Green,Green,#5B6533,false,solid,077540034598
470,Avocado Green - Light,Green,#72813E,false,solid,077540034604
471,Avocado Green - Very Light,Green,#9EB357,false,solid,077540034611
472,Avocado Green - Ultra Light,Green,#D1DE75,false,solid,077540034628
498,Red - Dark,Red,#970B2C,false,solid,077540034635
500,Blue Green - Very Dark,Blue Green,#1D362A,false,solid,077540034642
501,Blue Green - Dark,Blue Green,#2F5446,false,solid,077540034659
502,Blue Green,Blue Green,#57826E,false,solid,077540034666
503,Blue Green - Medium,Blue Green,#89B89F,false,solid,077540034673
51,Variegated - Burnt Orange,Variegated,#CC5500,true,variegated,077540033799
517,Wedgewood - Dark,Blue,#216285,false,solid,077540034697
518,Wedgewood - Light,Blue,#50819C,false,solid,077540034703
519,Sky Blue,Blue,#94B7CB,false,solid,077540034710
524,Fern Green - Very Light,Green,#AEA78E,false,solid,077540707249
543,Beige Brown - Ultra Very Light,Brown,#EAD0B5,false,solid,077540034734
550,Violet - Very Dark,Lavender,#580E5C,false,solid,077540034741
